hexal_id,receptor_channel,raytracer_receptor_type,node_id,node_type,u,v,frame_id,global_indices,lens_indices,receptor_type,position_x_um,position_y_um,position_z_um,direction_x,direction_y,direction_z,colours_r_uv,colours_g,colours_b,intensity,matched
176,0,0,176,R1,-7,12,1,1232,176,0,-383.8918762207031,-14.199528694152832,139.27064514160156,-0.5323670506477356,0.0063747740350663,0.8464896082878113,0.1922029852867126,0.1880914270877838,0.2030155658721923,0.1944366693496704,True
176,1,1,897,R2,-7,12,1,1233,176,1,-383.8918762207031,-14.199528694152832,139.27064514160156,-0.6039199233055115,0.0414106175303459,0.7959685325622559,0.1628738790750503,0.1989194601774215,0.2403015792369842,0.2006983011960983,True
176,2,2,1618,R3,-7,12,1,1234,176,2,-383.8918762207031,-14.199528694152832,139.27064514160156,-0.6709039211273193,0.0660197809338569,0.7385995984077454,0.1813345551490783,0.2365887910127639,0.3049438893795013,0.2409557551145553,True
176,3,3,2339,R4,-7,12,1,1235,176,3,-383.8918762207031,-14.199528694152832,139.27064514160156,-0.6570321917533875,-0.0243109986186027,0.7534704208374023,0.2068088501691818,0.1647062301635742,0.1325631141662597,0.1680260747671127,True
176,4,4,3060,R5,-7,12,1,1236,176,4,-383.8918762207031,-14.199528694152832,139.27064514160156,-0.6394256949424744,-0.1125634238123893,0.760568380355835,0.153557538986206,0.0922890231013298,0.052768524736166,0.0995383635163307,True
176,5,5,3781,R6,-7,12,1,1237,176,5,-383.8918762207031,-14.199528694152832,139.27064514160156,-0.5697053670883179,-0.1405256688594818,0.8097458481788635,0.1427756249904632,0.0768653452396392,0.0347985625267028,0.0848131775856018,True
176,6,6,4502,R7,-7,12,1,1238,176,6,-383.8918762207031,-14.199528694152832,139.27064514160156,-0.5902963876724243,-0.0531826987862587,0.8054326772689819,0.1842721253633499,0.024421414360404,0.0442085564136505,0.084300696849823,True
176,7,6,5223,R8,-7,12,1,1238,176,6,-383.8918762207031,-14.199528694152832,139.27064514160156,-0.5902963876724243,-0.0531826987862587,0.8054326772689819,0.1842721253633499,0.024421414360404,0.0442085564136505,0.084300696849823,True
177,0,0,177,R1,-7,13,1,1239,177,0,-397.9241638183594,-0.7310627698898315,128.55360412597656,-0.5989726185798645,0.0538827218115329,0.7989546060562134,0.1856575310230255,0.2222798615694046,0.2681600749492645,0.2253658324480056,True
177,1,1,898,R2,-7,13,1,1240,177,1,-397.9241638183594,-0.7310627698898315,128.55360412597656,-0.6638073921203613,0.0922738164663314,0.7421895265579224,0.1881098449230194,0.266054093837738,0.3461557030677795,0.2667732238769531,True
177,2,2,1619,R3,-7,13,1,1241,177,2,-397.9241638183594,-0.7310627698898315,128.55360412597656,-0.7241779565811157,0.1198588162660598,0.6791171431541443,0.3248204588890075,0.4694713652133941,0.6016994118690491,0.4653304517269134,True
177,3,3,2340,R4,-7,13,1,1242,177,3,-397.9241638183594,-0.7310627698898315,128.55360412597656,-0.7171975374221802,0.029136199504137,0.6962605714797974,0.1422483026981353,0.1624348908662796,0.187692791223526,0.1641253381967544,True
177,4,4,3061,R5,-7,13,1,1243,177,4,-397.9241638183594,-0.7310627698898315,128.55360412597656,-0.7057322859764099,-0.0598786510527133,0.7059437036514282,0.1580418348312378,0.1086759716272354,0.0727675706148147,0.1131617799401283,True
177,5,5,3782,R6,-7,13,1,1244,177,5,-397.9241638183594,-0.7310627698898315,128.55360412597656,-0.6421716213226318,-0.09112349152565,0.7611255645751953,0.1290872693061828,0.0742054507136344,0.0388797894120216,0.0807241722941398,True
177,6,6,4503,R7,-7,13,1,1245,177,6,-397.9241638183594,-0.7310627698898315,128.55360412597656,-0.6568915247917175,-0.0027852111961692,0.7539799809455872,0.1930987685918808,0.0357480607926845,0.0997954308986663,0.1095474138855934,True
177,7,6,5224,R8,-7,13,1,1245,177,6,-397.9241638183594,-0.7310627698898315,128.55360412597656,-0.6568915247917175,-0.0027852111961692,0.7539799809455872,0.1930987685918808,0.0357480607926845,0.0997954308986663,0.1095474138855934,True
178,0,0,178,R1,-7,14,1,1246,178,0,-410.080810546875,14.092309951782228,116.50506591796876,-0.6612237691879272,0.1090724766254425,0.7422171831130981,0.2515749633312225,0.3389776051044464,0.4246852695941925,0.3384126126766205,True
178,1,1,899,R2,-7,14,1,1247,178,1,-410.080810546875,14.092309951782228,116.50506591796876,-0.7187042236328125,0.1492386609315872,0.6791111826896667,0.3668523728847503,0.5115675926208496,0.6489156484603882,0.5091118812561035,True
178,2,2,1620,R3,-7,14,1,1248,178,2,-410.080810546875,14.092309951782228,116.50506591796876,-0.7718098163604736,0.1781966239213943,0.6103732585906982,0.199020430445671,0.4045252799987793,0.663901686668396,0.4224824905395508,True
178,3,3,2341,R4,-7,14,1,1249,178,3,-410.080810546875,14.092309951782228,116.50506591796876,-0.7714210748672485,0.0877630710601806,0.630243718624115,0.1947498917579651,0.3219546973705292,0.4253328442573547,0.3140124678611755,True
178,4,4,3062,R5,-7,14,1,1250,178,4,-410.080810546875,14.092309951782228,116.50506591796876,-0.7658364176750183,-0.0014226099010556,0.6430338621139526,0.1466694921255111,0.1279198229312896,0.1113830655813217,0.1286574602127075,True
178,5,5,3783,R6,-7,14,1,1251,178,5,-410.080810546875,14.092309951782228,116.50506591796876,-0.709087073802948,-0.0344330854713916,0.7042796611785889,0.1423365175724029,0.1088596135377883,0.0811833664774894,0.1107931733131408,True
178,6,6,4504,R7,-7,14,1,1252,178,6,-410.080810546875,14.092309951782228,116.50506591796876,-0.7181645035743713,0.0543256066739559,0.6937496066093445,0.1226221546530723,0.0325578562915325,0.132379412651062,0.095853142440319,True
